Column1,Column2,Column3,Column4,Column5,Column6,Column7
0.0,5000.0,5000.0,0.0,5000.0,0.0,0.0
0.01,-2.6804736376608738e-8,-1.49365068183757e-8,5000.000000026805,4762.641215376824,237.35878462317746,5000.000000014937
0.02,-2.6804736376608738e-8,-1.49365068183757e-8,5000.000000026805,4536.550270435697,463.4497295643057,5000.000000014937
0.03,-2.6804736376608738e-8,-1.49365068183757e-8,5000.000000026805,4321.192144692161,678.807855307841,5000.000000014937
0.04,-2.6804736376608738e-8,-1.49365068183757e-8,5000.000000026805,4116.05755931192,883.9424406880818,5000.000000014937
0.05,-2.6804736376608738e-8,-1.49365068183757e-8,5000.000000026805,3920.6611844942613,1079.3388155057407,5000.000000014937
0.06,-2.6804736376608738e-8,-1.49365068183757e-8,5000.000000026805,3734.540462019474,1265.4595379805282,5000.000000014937
0.07,-2.6804736376608738e-8,-1.49365068183757e-8,5000.000000026805,3557.2544982061017,1442.7455017939,5000.000000014937
0.08,-2.6804736376608738e-8,-1.49365068183757e-8,5000.000000026805,3388.3850033676895,1611.6149966323126,5000.000000014937
0.09,-2.6804736376608738e-8,-1.49365068183757e-8,5000.000000026805,3227.532789714444,1772.4672102855582,5000.000000014937
0.1,-2.6804736376608738e-8,-1.49365068183757e-8,5000.000000026805,3074.316727309592,1925.6832726904101,5000.000000014937
0.11,-2.6804736376608738e-8,-1.49365068183757e-8,5000.000000026805,2928.3737440693767,2071.6262559306256,5000.000000014937
0.12,-2.6804736376608738e-8,-1.49365068183757e-8,5000.000000026805,2789.358017325101,2210.6419826749006,5000.000000014937
0.13,-2.6804736376608738e-8,-1.49365068183757e-8,5000.000000026805,2656.940616854527,2343.059383145475,5000.000000014937
0.14,-2.6804736376608738e-8,-1.49365068183757e-8,5000.000000026805,2530.810153674744,2469.189846325258,5000.000000014937
0.15,-2.6804736376608738e-8,-1.49365068183757e-8,5000.000000026805,2410.6686069350126,2589.3313930649892,5000.000000014937
0.16,-2.6804736376608738e-8,-1.49365068183757e-8,5000.000000026805,2296.231142437253,2703.768857562749,5000.000000014937
0.17,-2.6804736376608738e-8,-1.49365068183757e-8,5000.000000026805,2187.2261126360413,2812.7738873639605,5000.000000014937
0.18,-2.6804736376608738e-8,-1.49365068183757e-8,5000.000000026805,2083.3950566386115,2916.6049433613903,5000.000000014937
0.19,-2.6804736376608738e-8,-1.49365068183757e-8,5000.000000026805,1984.4912255864026,3015.5087744135994,5000.000000014937
0.2,-2.6804736376608738e-8,-1.49365068183757e-8,5000.000000026805,1890.2804119251489,3109.7195880748527,5000.000000014937
0.21,-2.6804736376608738e-8,-1.49365068183757e-8,5000.000000026805,1800.542612462901,3199.4573875371007,5000.000000014937
